epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,202.013,0.5999,0.55065,1.00071,0.86506,0.92693,0.92954,0.762,0.64399,0.56346,1.00871,0.000990365,0.000990365,0.000990365
43,206.951,0.62247,0.5594,1.00973,0.93023,0.87512,0.93587,0.78036,0.60513,0.58222,0.96949,0.000973861,0.000973861,0.000973861
44,211.859,0.61402,0.54422,1.00632,0.89792,0.9049,0.94616,0.77637,0.61054,0.55988,0.9977,0.000957358,0.000957358,0.000957358
45,216.725,0.59678,0.53783,0.9928,0.97064,0.85863,0.9433,0.77592,0.60443,0.52713,0.99088,0.000940855,0.000940855,0.000940855
46,220.684,0.58884,0.52536,1.00364,0.98545,0.87128,0.93781,0.78639,0.5955,0.53749,0.9829,0.000924352,0.000924352,0.000924352
47,225.437,0.54373,0.50897,0.96799,0.96114,0.89841,0.95555,0.78614,0.62066,0.50886,0.98338,0.000907848,0.000907848,0.000907848
48,230.35,0.58155,0.50127,0.99058,0.97002,0.85505,0.94426,0.78226,0.65169,0.57683,1.01702,0.000891345,0.000891345,0.000891345
49,235.226,0.57742,0.50589,0.99326,0.98762,0.83517,0.93094,0.7526,0.66386,0.62355,1.01769,0.000874842,0.000874842,0.000874842
50,240.259,0.59788,0.51513,1.0087,0.95676,0.86628,0.94775,0.79052,0.60003,0.51763,0.98052,0.000858338,0.000858338,0.000858338
51,245.215,0.58185,0.49885,0.99099,0.98173,0.84066,0.94847,0.77389,0.62226,0.54072,1.00021,0.000841835,0.000841835,0.000841835
52,250.086,0.56563,0.48891,0.99125,0.94535,0.86902,0.95307,0.80039,0.61565,0.54264,0.99737,0.000825332,0.000825332,0.000825332
53,255.005,0.57414,0.50196,0.97419,0.96068,0.86593,0.95496,0.79226,0.62583,0.49175,0.98304,0.000808828,0.000808828,0.000808828
54,259.851,0.55794,0.48197,0.98718,0.96085,0.89484,0.9537,0.79147,0.60974,0.45648,0.9861,0.000792325,0.000792325,0.000792325
55,264.62,0.54755,0.47129,0.98481,0.96083,0.864,0.94442,0.78563,0.60087,0.53639,1.00394,0.000775822,0.000775822,0.000775822
56,268.581,0.55868,0.49081,0.98724,0.97051,0.87474,0.94467,0.77791,0.63389,0.50107,1.02671,0.000759318,0.000759318,0.000759318
57,273.505,0.55274,0.46152,0.97607,0.96706,0.88561,0.95276,0.79912,0.56983,0.43668,0.98449,0.000742815,0.000742815,0.000742815
58,278.562,0.53191,0.45789,0.969,0.93024,0.91496,0.94857,0.79707,0.5774,0.47601,0.98836,0.000726312,0.000726312,0.000726312
59,283.734,0.54503,0.44835,0.97382,0.92889,0.90942,0.94611,0.78641,0.61552,0.48444,0.98968,0.000709809,0.000709809,0.000709809
60,288.743,0.54088,0.45477,0.9734,0.96924,0.8985,0.95894,0.80883,0.59196,0.45088,0.96971,0.000693305,0.000693305,0.000693305
61,293.758,0.53817,0.45542,0.97455,0.95171,0.91238,0.95652,0.80022,0.57567,0.44566,0.98144,0.000676802,0.000676802,0.000676802
62,298.656,0.536,0.45797,0.97489,0.93054,0.93083,0.95518,0.80085,0.59165,0.43387,1.00327,0.000660299,0.000660299,0.000660299
63,303.528,0.54172,0.47105,0.98397,0.97002,0.85415,0.93964,0.78581,0.63455,0.55737,1.0061,0.000643795,0.000643795,0.000643795
64,308.465,0.52477,0.45153,0.97847,0.9502,0.89663,0.94438,0.79977,0.60013,0.50596,0.9963,0.000627292,0.000627292,0.000627292
65,313.39,0.52298,0.44305,0.97314,0.96359,0.88527,0.95052,0.79944,0.6043,0.47182,0.99725,0.000610789,0.000610789,0.000610789
66,317.366,0.52513,0.44385,0.9584,0.95387,0.91736,0.95334,0.81372,0.57687,0.43849,0.98721,0.000594286,0.000594286,0.000594286
67,322.505,0.52773,0.43931,0.97479,0.94776,0.91095,0.94861,0.80727,0.57392,0.4696,0.96914,0.000577782,0.000577782,0.000577782
68,327.492,0.50148,0.41698,0.95062,0.96191,0.88985,0.94078,0.78621,0.60816,0.50992,0.99049,0.000561279,0.000561279,0.000561279
69,332.555,0.50525,0.41602,0.94793,0.95083,0.88728,0.95365,0.79053,0.5988,0.44394,0.99757,0.000544776,0.000544776,0.000544776
70,337.51,0.50697,0.43916,0.96055,0.94889,0.92791,0.95525,0.79396,0.60555,0.42961,0.99964,0.000528272,0.000528272,0.000528272
71,342.425,0.50772,0.41895,0.96089,0.92754,0.92763,0.95404,0.80301,0.55829,0.44086,0.95781,0.000511769,0.000511769,0.000511769
72,346.802,0.48917,0.41221,0.95809,0.94165,0.92305,0.9562,0.8062,0.57836,0.44084,0.96482,0.000495266,0.000495266,0.000495266
73,351.818,0.51625,0.42529,0.96627,0.95,0.91647,0.95775,0.79904,0.60096,0.4357,0.98081,0.000478762,0.000478762,0.000478762
74,356.794,0.50652,0.424,0.96646,0.95499,0.90397,0.95331,0.7922,0.57533,0.43732,0.98451,0.000462259,0.000462259,0.000462259
75,361.693,0.50074,0.43433,0.95422,0.96851,0.9064,0.95351,0.80332,0.56217,0.41837,0.98534,0.000445756,0.000445756,0.000445756
76,366.648,0.50623,0.42961,0.96741,0.98015,0.89883,0.95791,0.80071,0.57258,0.42249,0.98301,0.000429253,0.000429253,0.000429253
77,371.613,0.48315,0.38821,0.95421,0.97528,0.91361,0.95999,0.7955,0.57544,0.40217,0.98525,0.000412749,0.000412749,0.000412749
78,376.514,0.48897,0.38873,0.95614,0.98981,0.88587,0.94713,0.79293,0.56712,0.46147,0.98886,0.000396246,0.000396246,0.000396246
79,380.709,0.50982,0.42395,0.96974,0.97139,0.90295,0.95359,0.79797,0.58416,0.43724,1.01119,0.000379743,0.000379743,0.000379743
80,385.664,0.47392,0.39216,0.95095,0.96774,0.89531,0.95548,0.81734,0.56539,0.40491,0.99883,0.000363239,0.000363239,0.000363239
81,390.592,0.48282,0.39266,0.94915,0.923,0.93866,0.95357,0.80446,0.57842,0.40378,1.00491,0.000346736,0.000346736,0.000346736
82,395.508,0.48636,0.39031,0.95157,0.96242,0.91108,0.95393,0.80515,0.58091,0.42024,0.9988,0.000330233,0.000330233,0.000330233
83,400.419,0.46549,0.3914,0.93754,0.97053,0.89094,0.94791,0.793,0.57703,0.44405,0.99531,0.000313729,0.000313729,0.000313729
84,405.389,0.47147,0.38526,0.94593,0.9741,0.87732,0.94385,0.78948,0.57189,0.45058,0.99814,0.000297226,0.000297226,0.000297226
85,410.34,0.46123,0.37808,0.94243,0.97991,0.88146,0.95202,0.79382,0.56319,0.40984,0.99311,0.000280723,0.000280723,0.000280723
86,415.275,0.46002,0.39222,0.9476,0.96821,0.89345,0.95151,0.7894,0.56595,0.41595,0.98899,0.00026422,0.00026422,0.00026422
87,420.197,0.47051,0.38503,0.94787,0.97441,0.87688,0.95202,0.79661,0.57433,0.43376,0.99413,0.000247716,0.000247716,0.000247716
88,425.041,0.45764,0.37023,0.94593,0.95743,0.89883,0.95137,0.80548,0.56831,0.41525,0.99737,0.000231213,0.000231213,0.000231213
89,429.885,0.45419,0.35915,0.93691,0.96428,0.89654,0.9513,0.80501,0.55904,0.40283,0.99482,0.00021471,0.00021471,0.00021471
90,434.376,0.44681,0.36484,0.94307,0.95299,0.89827,0.95026,0.80505,0.56467,0.41035,0.9972,0.000198206,0.000198206,0.000198206
91,440.234,0.37853,0.33994,0.85917,0.95739,0.8915,0.94602,0.78591,0.59334,0.44558,1.0074,0.000181703,0.000181703,0.000181703
92,444.832,0.37237,0.30259,0.86889,0.94514,0.89715,0.94956,0.78798,0.57379,0.44372,0.99739,0.0001652,0.0001652,0.0001652
93,449.713,0.35291,0.2914,0.84965,0.95996,0.89482,0.95078,0.7887,0.56749,0.42582,1.00448,0.000148696,0.000148696,0.000148696
94,454.532,0.35257,0.29151,0.85331,0.96084,0.89279,0.94519,0.79029,0.57474,0.42219,1.0099,0.000132193,0.000132193,0.000132193
95,459.62,0.35157,0.28964,0.85695,0.9593,0.9042,0.94484,0.79617,0.56572,0.41905,1.00004,0.00011569,0.00011569,0.00011569
96,464.528,0.33507,0.26982,0.84186,0.95633,0.9042,0.94237,0.79456,0.55661,0.4207,0.9919,9.91865e-05,9.91865e-05,9.91865e-05
97,469.519,0.34538,0.27524,0.85096,0.94411,0.90577,0.94199,0.79854,0.55064,0.41277,0.99005,8.26832e-05,8.26832e-05,8.26832e-05
98,474.429,0.3303,0.2612,0.84023,0.95362,0.91457,0.94277,0.79302,0.56006,0.41566,0.99503,6.61799e-05,6.61799e-05,6.61799e-05
99,478.956,0.33556,0.2685,0.8485,0.94417,0.91242,0.94236,0.79909,0.55586,0.41408,0.99235,4.96766e-05,4.96766e-05,4.96766e-05
100,483.886,0.31902,0.25117,0.8317,0.97191,0.89067,0.94149,0.80297,0.55565,0.41302,0.9921,3.31733e-05,3.31733e-05,3.31733e-05
